company_id,name,website,phone_number,address,office_type,claimed_profile,is_active,parent_company_id,is_cash_home_buyer,company_logo,coverage_type,location_tag,num_reviews,avg_review_rating,reviews_last_6_months,avg_rating_last_6_months,reviews_last_18_months,avg_rating_last_18_months,num_months_with_reviews,pct_months_with_review,response_rate,total_responses,months_since_last_review,total_months_active,year_first_active,num_1_star_reviews,num_2_star_reviews,num_3_star_reviews,num_4_star_reviews,num_5_star_reviews,median_review_age_months,product_type,cities,counties,states,bbb_review_summary,bbb_last_pull_date,bbb_reviews_link,bbb_review_score,bbb_reviews,bbb_complaints,bbb_accreditation,bbb_file_opened,bbb_rating,google_profile_url,google_num_reviews,google_avg_review_rating
19d84513-a249-41dc-b305-558965c4d2e4,We Buy Houses Dallas .US,http://www.webuyhousesdallas.us/,null,null,Local Company,FALSE,TRUE,19d84513-a249-41dc-b305-558965c4d2e4,TRUE,companies/logos/c0e227f5-dd80-474d-be18-4d45920a0cde.png,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Cash Investor,"Dallas, Frisco",null,Texas,null,null,null,null,null,null,null,null,null,null,null,null
0e05d3d7-816d-4274-ad37-16d2db36894b,"Jonas Elber, Real Estate Broker",http://www.jonaselber.com/,(509) 720-8330,"12810 E Nora Ave, Spokane, WA 99206",null,FALSE,TRUE,0e05d3d7-816d-4274-ad37-16d2db36894b,TRUE,companies/logos/21f7b250-90ce-47fa-9310-9b062cf52c11.png,null,null,67,4.820895522,0,null,4,5,32,0.253968254,0.223880597,15,8,126,2015,3,0,0,0,64,59,Cash Investor,Spokane,Spokane,Washington,null,null,null,null,null,null,null,null,null,"https://www.google.com/maps/place/Jonas+Elber%2C+Real+Estate+Broker/@47.673523499999995,-117.23273739999999,14z/data=!4m8!1m2!2m1!1sJonas+Elber%2C+Real+Estate+Broker!3m4!1s0x549e18f678eeed2b:0x2cff793a3d76b7b0!8m2!3d47.673523499999995!4d-117.23273739999999",67,4.820895522
65a2c249-0a2e-4a77-9233-0db96aeef284,The Smith Financial Relief Group,https://allcashbuyers.org/,(440) 837-3753,"227 E SUNSHINE SUITE 228, SPRINGFIELD, MO 65807",null,FALSE,FALSE,65a2c249-0a2e-4a77-9233-0db96aeef284,TRUE,companies/logos/c5892e41-6c2f-4bad-9dab-44c606c11cc1.png,Local,"Springfield, MO",3,5,0,null,0,null,2,0.05128205128,0.6666666667,2,35,39,2022,0,0,0,0,3,38,Cash Investor,Springfield,null,Missouri,null,null,null,null,null,null,null,null,null,"https://www.google.com/maps/place/Smith+Financial+Relief+Group+LLC/@33.7331424,-85.34980949999999,14z/data=!4m8!1m2!2m1!1sSmith+Financial+Relief+Group+LLC!3m4!1s0x8831abcbc487c635:0x69c435ed92b1e0!8m2!3d33.7331424!4d-85.34980949999999",3,5
92e82a5e-160d-4852-adf8-a30e2ad993bc,Baker LA Mortgage Note Buyers,https://www.cashnoteusa.com/real-estate-mortgage-note-buyers-baker-la/,(225) 372-5468,null,null,FALSE,TRUE,90d16122-e30c-4cf5-9415-c9e08222e33a,TRUE,companies/logos/fcdee85a-e866-451d-baf3-df0b9dcd18f0.png,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Cash Investor,null,null,null,Found no reviews and no complaints,2026-01-12,https://www.bbb.org/us/la/baker/profile/home-buyers/baker-la-mortgage-note-buyers-0835-90028821/customer-reviews,null,null,null,FALSE,2020-01-03,A,null,null,null
f60ca260-203d-4e61-8605-012bdc8965a4,Mike Buys Houses Fast,https://www.mike-buys-houses-fast.com/,(757) 255-5505,null,Local Company,FALSE,TRUE,f60ca260-203d-4e61-8605-012bdc8965a4,TRUE,companies/logos/b3c47deb-4162-4585-9920-c7400d8939da.png,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Cash Investor,Chesapeake,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null
24beb7cb-15ed-4753-837c-ce83341b33b5,Favor Home Solutions,https://favorhomesolutions.com/north-carolina/guilford-county/greensboro/,(336) 438-8608,"717 Green Valley Rd Suite 200 #575, Greensboro, NC 27408",Local Company,FALSE,TRUE,24beb7cb-15ed-4753-837c-ce83341b33b5,TRUE,companies/logos/3655d378-c0c5-45b2-9f53-9a8c74be354b.png,null,null,35,5,16,5,34,5,12,0.2666666667,0.8857142857,31,0,45,2022,0,0,0,0,35,6,Cash Investor,null,null,null,Profile not found,2026-01-12,https://www.bbb.org/us/tn/murfreesboro/profile/real-estate-investing/favor-home-solutions-llc-0573-37170214/customer-reviews,null,null,null,null,null,null,null,null,null
2484124d-499a-4606-b04d-faa16321af0d,We Buy Houses Tucson AZ,http://www.webuyhousestucsonaz.com/,(520) 302-4988,null,null,FALSE,FALSE,2484124d-499a-4606-b04d-faa16321af0d,TRUE,companies/logos/b7f5c713-8567-430d-9b44-86ca9433a2ea.png,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Cash Investor,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
600a1575-117f-4f2e-8bc1-7101134a8f47,California Cash Buyers,https://www.californiacashbuyer.com/,(415) 384-9992,null,Local Company,FALSE,TRUE,600a1575-117f-4f2e-8bc1-7101134a8f47,TRUE,companies/logos/0ee1b610-6952-4b2d-ad54-79c085e403ca.png,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Cash Investor,"Alameda, Antioch, Berkeley, Citrus Heights, Concord, Cupertino, Daly City, Elk Grove, Fairfield, Folsom, Fremont, Hayward, Livermore, Milpitas, Mountain View, Newark, Oakland, Pacifica, Palo Alto, Pittsburg, Pleasanton, Redwood City, Richmond, Sacramento, San Bruno, San Francisco, San Jose, San Leandro, San Mateo, San Ramon, Santa Clara, South San Francisco, Sunnyvale, Union City, Vacaville, Vallejo, Walnut Creek",null,California,Found no reviews and no complaints,2026-01-15,https://www.bbb.org/us/ca/san-bruno/profile/real-estate-investing/california-cash-buyer-1116-898692/customer-reviews,null,null,null,TRUE,2019-06-19,A+,null,null,null
670cd891-98ea-461e-869c-4caa4c4f6f37,Your Trusted Home Buyer Orlando,https://www.yourtrustedhomebuyer.com/we-buy-houses-orlando-fast/,(855) 483-2097,null,Local Company,FALSE,TRUE,670cd891-98ea-461e-869c-4caa4c4f6f37,TRUE,companies/logos/11b00ad2-8411-49f9-9994-d8b03ee4359c.png,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Cash Investor,"Deltona, Kissimmee, Lakeland, Miami, Orlando",null,Florida,null,null,null,null,null,null,null,null,null,null,null,null
e22fd275-87f8-47b8-9b1f-18133d31281a,SLO Cash Buyer,https://www.slocashbuyer.com/,(805) 779-3472,null,Local Company,FALSE,TRUE,e22fd275-87f8-47b8-9b1f-18133d31281a,TRUE,companies/logos/14d6868e-ed94-4c19-9a56-25317c0ba5b9.png,null,null,8,5,1,5,4,5,5,0.1136363636,0,0,4,44,2022,0,0,0,0,8,17.5,Cash Investor,"San Luis Obispo, Santa Maria",null,California,Found no reviews and no complaints,2026-01-17,https://www.bbb.org/us/ca/san-luis-obispo/profile/real-estate-broker/slo-cash-buyer-1236-92070305/customer-reviews,null,null,null,TRUE,2022-04-27,A+,"https://www.google.com/maps/place/SLO+Cash+Buyer/@35.347065,-120.45533239999999,14z/data=!4m8!1m2!2m1!1sSLO+Cash+Buyer!3m4!1s0x67377a7e46a08831:0x8c5b019f78ecc323!8m2!3d35.347065!4d-120.45533239999999",8,5
