market,company_id,company_name,website,phone_number,best_rating,best_reviews,customer_experience,credibility,local_activity,confidence_multiplier,penalty,final_score_adjusted,market_rank
"Dallas, Texas",83149b17-d61d-4614-9d26-f171ff3aef60,Big State Home Buyers,https://www.bigstatehomebuyers.com/,(713) 322-8803,4.738916256,203.0,0.8449013275891681,1.0,0.6352541515427366,1.0,0,85.4529002541893,1
"Dallas, Texas",38265613-42c6-4485-99ad-2292c14dfef0,Metroplex Homebuyers,https://metroplexhomebuyers.com/,(972) 487-7653,4.860465116,129.0,0.8594459457844348,1.0,0.5604931493575189,1.0,0,84.09293683639319,2
"Dallas, Texas",6bcb0f29-34ef-4c2b-b3b0-c42583edf3ff,Orchard,https://Orchard.com,(844) 515-9880,4.353673724,803.0,0.7682376851717503,0.8150000000000001,0.8888479226418962,1.0,0,81.70951704705867,3
"Dallas, Texas",61235d47-1694-4f91-92cc-14f1d5815318,Home Buying Guys,http://www.homebuyingguys.com/,(866) 847-3565,4.948717949,78.0,0.8516646819090626,0.9099999999999999,0.5939700173441855,1.0,0,81.05751430042183,4
"Dallas, Texas",54e3ad8e-4cdf-44d7-bb7e-440f0ecf48f4,TX Cash Home Buyers,https://www.txcashhomebuyers.com/,(281) 595-7550,4.790697674,43.0,0.7607944831716786,0.865,0.6687645539982097,1.0,0,77.94692076096399,5
"Dallas, Texas",88d84412-6ee1-4237-8d34-8c6a08e582be,Cash House Buyers DFW,https://www.cashhousebuyersdfw.com/,(214) 272-2177,5.0,70.0,0.8580416798676707,0.685,0.6716350210914569,1.0,0,74.22233432265489,6
"Dallas, Texas",67b5307c-23fb-4583-baf7-a9bfaadd3002,Starfish Group Properties,https://www.starfishgroupproperties.com/,(817) 859-6677,5.0,23.0,0.7519483693022966,0.73,0.7256854329417045,1.0,0,73.660328749123,7
"Dallas, Texas",6cfb439e-3250-4de9-b0fa-90e9fb24acf8,Ninebird Properties,https://www.ninebp.com/,(972) 996-1839,4.902439024,41.0,0.7852278026033519,0.7749999999999999,0.5922844930107398,1.0,0,73.29008541638582,8
"Dallas, Texas",05544655-9441-4b1b-bedb-d97e2271ed0d,JZ Home Buyers,http://www.jzhomebuyers.com/,(817) 382-3579,5.0,184.0,0.9280183994189618,0.605,0.7481247504950099,0.9624999999999999,0,72.55687163921245,9
"Dallas, Texas",773764ca-1f1e-4afc-9667-b8203e1a14c1,TX Home Buying Pros,http://www.txhomebuyingpros.com/,(214) 296-2343,5.0,47.0,0.822737143703673,0.6225,0.7505693828865431,1.0,0,72.46003460179213,10
"Dallas, Texas",97c52087-d2b9-48a7-a6cd-cc1eb79e7c6e,A-List Properties,https://www.texassellmyhouse.com/,(972) 526-7042,4.93442623,61.0,0.8277512562190098,0.7749999999999999,0.49362792177203657,1.0,0,72.31199201196625,11
"Dallas, Texas",97c52087-d2b9-48a7-a6cd-cc1eb79e7c6e,A-List Properties,https://www.texassellmyhouse.com/,(972) 526-7042,4.93442623,61.0,0.8277512562190098,0.7749999999999999,0.49362792177203657,1.0,0,72.31199201196625,12
"Dallas, Texas",97c52087-d2b9-48a7-a6cd-cc1eb79e7c6e,A-List Properties,https://www.texassellmyhouse.com/,(972) 526-7042,4.93442623,61.0,0.8277512562190098,0.7749999999999999,0.49362792177203657,1.0,0,72.31199201196625,13
"Dallas, Texas",97c52087-d2b9-48a7-a6cd-cc1eb79e7c6e,A-List Properties,https://www.texassellmyhouse.com/,(972) 526-7042,4.93442623,61.0,0.8277512562190098,0.7749999999999999,0.49362792177203657,1.0,0,72.31199201196625,14
"Dallas, Texas",97c52087-d2b9-48a7-a6cd-cc1eb79e7c6e,A-List Properties,https://www.texassellmyhouse.com/,(972) 526-7042,4.93442623,61.0,0.8277512562190098,0.7749999999999999,0.49362792177203657,1.0,0,72.31199201196625,15
"Dallas, Texas",97c52087-d2b9-48a7-a6cd-cc1eb79e7c6e,A-List Properties,https://www.texassellmyhouse.com/,(972) 526-7042,4.93442623,61.0,0.8277512562190098,0.7749999999999999,0.49362792177203657,1.0,0,72.31199201196625,16
"Dallas, Texas",97c52087-d2b9-48a7-a6cd-cc1eb79e7c6e,A-List Properties,https://www.texassellmyhouse.com/,(972) 526-7042,4.93442623,61.0,0.8277512562190098,0.7749999999999999,0.49362792177203657,1.0,0,72.31199201196625,17
"Dallas, Texas",97c52087-d2b9-48a7-a6cd-cc1eb79e7c6e,A-List Properties,https://www.texassellmyhouse.com/,(972) 526-7042,4.93442623,61.0,0.8277512562190098,0.7749999999999999,0.49362792177203657,1.0,0,72.31199201196625,18
"Dallas, Texas",97c52087-d2b9-48a7-a6cd-cc1eb79e7c6e,A-List Properties,https://www.texassellmyhouse.com/,(972) 526-7042,4.93442623,61.0,0.8277512562190098,0.7749999999999999,0.49362792177203657,1.0,0,72.31199201196625,19
"Dallas, Texas",9041d630-dc6c-4239-afb9-53d9b3740bf2,Myers Home Buyers,https://www.myershomebuyers.com/,(844) 718-5832,4.772727273,22.0,0.7027374075833148,0.865,0.46792578308336996,1.0,0,70.89395384250027,20
"Dallas, Texas",04bc9bb1-a5c0-40d6-9f3a-025cb04cfd8e,Housed Real Estate + Relocation,https://www.housedrealestate.com/,(214) 888-6864,4.9375,128.0,0.8839382191825216,0.56,0.7991052327149767,0.9624999999999999,0,70.56613842091531,21
"Dallas, Texas",0f3b18c4-ea67-4d25-97ec-1db061e3882f,Dioro Home Buyers,https://www.diorohomebuyers.com/,(469) 777-4875,5.0,22.0,0.7473802646726003,0.685,0.631880455062655,1.0,0,69.3553206401074,22
"Dallas, Texas",be15d99f-3c4b-494f-b2dc-cd6178d413a5,Big Texas Home Buyers,https://bigtexashomebuyers.com/,(214) 444-9385,4.47826087,23.0,0.6472972065988083,1.0,0.2650735294,1.0,0,69.2822404659583,23
"Dallas, Texas",87121116-8316-4bd0-8df6-a393ecdd8dcc,We Buy Texas Mobile Homes,https://www.webuytxmobilehomes.com/,(832) 413-4038,5.0,26.0,0.7645081019846482,0.685,0.598509241929043,1.0,0,69.12051461768876,24
"Dallas, Texas",8f3589b3-fb61-4d90-8837-058fba4c0830,Duke Real Estate & Asset Management LLC,https://welovedallashomes.com/?utm_campaign=GoogleMyBusiness,(469) 638-8276,4.666666667,63.0,0.7541912305791144,0.68,0.5778842729263888,1.0,0,68.04379989342871,25
"Dallas, Texas",8f3589b3-fb61-4d90-8837-058fba4c0830,Duke Real Estate & Asset Management LLC,https://welovedallashomes.com/?utm_campaign=GoogleMyBusiness,(469) 638-8276,4.666666667,63.0,0.7541912305791144,0.68,0.5778842729263888,1.0,0,68.04379989342871,26
"Dallas, Texas",86248543-1997-4319-b7d4-28fd5c04ff04,Selling Unlocked,https://sellingunlocked.com/,(817) 374-4641,5.0,20.0,0.7375795803058445,0.865,0.3000162601583334,1.0,0,67.91569181466289,27
"Dallas, Texas",0d3f002f-195a-4de4-aa7f-43e490fb831d,HomeGo,,(405) 896-4930,4.642105263,95.0,0.7716275735803353,0.8150000000000001,0.3217261904783333,1.0,0,67.65011983727007,28
"Dallas, Texas",9f105618-bdb1-4283-a99a-85f797aaae7d,Boom Home Offer,https://www.boomhomeoffer.com/,(855) 970-0344,4.916666667,12.0,0.6743302985368286,0.77,0.38640316337082725,1.0,0,64.06163953305969,29
"Dallas, Texas",9a2fa520-123b-4943-af94-823d196ef7ce,Newbyginnings,https://www.newbyginnings.com/,(469) 336-6862,4.878787879,33.0,0.7602775262049093,0.9099999999999999,0.20412371135,1.0,5,63.11280620092181,30
"Dallas, Texas",17c91aa3-ffec-4a5a-b887-c0fb43ef135b,Sell Quick Home Buyers,https://www.sellquickhomebuyers.com/,(832) 500-5813,4.921259843,127.0,0.8781532310651967,0.42500000000000004,0.70555002670001,0.9624999999999999,0,62.922584488977805,31
